,"Agriculture, Hunting, Forestry and Fishing","Mining and Quarrying","Food, Beverages and Tobacco","Textiles and Textile Products","Leather, Leather and Footwear","Wood and Products of Wood and Cork","Pulp, Paper, Paper , Printing and Publishing","Coke, Refined Petroleum and Nuclear Fuel","Chemicals and Chemical Products","Rubber and Plastics","Other Non-Metallic Mineral","Basic Metals and Fabricated Metal","Machinery, Nec","Electrical and Optical Equipment","Transport Equipment","Manufacturing, Nec; Recycling","Electricity, Gas and Water Supply","Construction","Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel","Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles","Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods","Hotels and Restaurants","Inland Transport","Water Transport","Air Transport","Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies","Post and Telecommunications","Financial Intermediation","Real Estate Activities","Renting of M&Eq and Other Business Activities","Public Admin and Defence; Compulsory Social Security","Education","Health and Social Work","Other Community, Social and Personal Services"
"Agriculture, Hunting, Forestry and Fishing","1,1096","0,0077","0,4115","0,0282","0,0599","0,1135","0,0453","0,0764","0,0178","0,0180","0,0139","0,0054","0,0052","0,0065","0,0057","0,0228","0,0040","0,0082","0,0031","0,0031","0,0031","0,1678","0,0104","0,0104","0,0104","0,0104","0,0135","0,0033","0,0006","0,0096","0,0088","0,0081","0,0113","0,0094"
"Mining and Quarrying","0,0119","1,0406","0,0102","0,0060","0,0098","0,0091","0,0089","0,3455","0,0383","0,0155","0,0531","0,0417","0,0177","0,0167","0,0120","0,0100","0,0178","0,0209","0,0052","0,0052","0,0052","0,0066","0,0120","0,0120","0,0120","0,0120","0,0156","0,0027","0,0012","0,0112","0,0060","0,0037","0,0071","0,0109"
"Food, Beverages and Tobacco","0,0619","0,0079","1,1732","0,0052","0,1359","0,0099","0,0096","0,0171","0,0201","0,0088","0,0070","0,0047","0,0045","0,0048","0,0048","0,0076","0,0048","0,0046","0,0032","0,0032","0,0032","0,3492","0,0121","0,0121","0,0121","0,0121","0,0158","0,0031","0,0004","0,0113","0,0147","0,0135","0,0175","0,0110"
"Textiles and Textile Products","0,0044","0,0129","0,0070","1,3977","0,0524","0,0026","0,0109","0,0072","0,0075","0,0203","0,0156","0,0042","0,0079","0,0048","0,0069","0,0481","0,0023","0,0093","0,0046","0,0046","0,0046","0,0163","0,0139","0,0139","0,0139","0,0139","0,0181","0,0053","0,0005","0,0129","0,0034","0,0026","0,0172","0,0126"
"Leather, Leather and Footwear","0,0001","0,0003","0,0002","0,0012","1,2845","0,0001","0,0007","0,0002","0,0002","0,0002","0,0001","0,0005","0,0008","0,0006","0,0011","0,0003","0,0001","0,0001","0,0001","0,0001","0,0001","0,0004","0,0004","0,0004","0,0004","0,0004","0,0005","0,0001","0,0000","0,0004","0,0001","0,0001","0,0002","0,0004"
"Wood and Products of Wood and Cork","0,0030","0,0018","0,0025","0,0013","0,0033","1,2338","0,0078","0,0012","0,0054","0,0028","0,0181","0,0045","0,0044","0,0083","0,0045","0,1299","0,0006","0,0337","0,0012","0,0012","0,0012","0,0012","0,0016","0,0016","0,0016","0,0016","0,0020","0,0018","0,0008","0,0014","0,0013","0,0028","0,0015","0,0014"
"Pulp, Paper, Paper , Printing and Publishing","0,0055","0,0189","0,0187","0,0154","0,0405","0,0193","1,2096","0,0122","0,0241","0,0372","0,0214","0,0147","0,0167","0,0190","0,0169","0,0331","0,0085","0,0109","0,0148","0,0148","0,0148","0,0111","0,0425","0,0425","0,0425","0,0425","0,0553","0,0328","0,0035","0,0395","0,0144","0,0130","0,0209","0,0385"
"Coke, Refined Petroleum and Nuclear Fuel","0,0238","0,0390","0,0235","0,0162","0,0211","0,0241","0,0186","1,1785","0,0768","0,0354","0,0478","0,0234","0,0240","0,0395","0,0192","0,0170","0,0235","0,0221","0,0158","0,0158","0,0158","0,0170","0,0375","0,0375","0,0375","0,0375","0,0488","0,0077","0,0029","0,0349","0,0174","0,0093","0,0164","0,0339"
"Chemicals and Chemical Products","0,0748","0,0280","0,0453","0,0436","0,0942","0,0330","0,0675","0,0232","1,1725","0,2314","0,0506","0,0561","0,0385","0,0386","0,0394","0,0714","0,0147","0,0354","0,0045","0,0045","0,0045","0,0263","0,0127","0,0127","0,0127","0,0127","0,0165","0,0051","0,0017","0,0118","0,0091","0,0088","0,0696","0,0115"
"Rubber and Plastics","0,0074","0,0195","0,0236","0,0110","0,0394","0,0159","0,0315","0,0120","0,0181","1,0623","0,0099","0,0261","0,0374","0,0278","0,0756","0,0465","0,0067","0,0347","0,0083","0,0083","0,0083","0,0110","0,0145","0,0145","0,0145","0,0145","0,0189","0,0036","0,0023","0,0135","0,0037","0,0038","0,0180","0,0131"
