Network file: examples/semantic
Total of sentences: 15
Vocabulary: 16
Vocabulary / Number of sentences: 1.0666666666666667

Id;Pair;QtSentencesPhi;QtSentencesPsi;FreqOfPair;Incidence;Fidelity;IF
e0;animal-be;2;12;1;0.06666666666666667;0.07692307692307693;0.005128205128205128
e1;be-alive;12;1;1;0.06666666666666667;0.08333333333333333;0.005555555555555555
e2;mammal-be;3;12;1;0.06666666666666667;0.07142857142857142;0.0047619047619047615
e3;human-be;4;12;1;0.06666666666666667;0.06666666666666667;0.0044444444444444444
e4;alice-be;3;12;1;0.06666666666666667;0.07142857142857142;0.0047619047619047615
e5;home-be;2;12;1;0.06666666666666667;0.07692307692307693;0.005128205128205128
e6;be-shelter;12;1;1;0.06666666666666667;0.08333333333333333;0.005555555555555555
e7;house-be;6;12;1;0.06666666666666667;0.058823529411764705;0.00392156862745098
e8;human-creation;4;1;1;0.06666666666666667;0.25;0.016666666666666666
e9;alice-have;3;3;1;0.06666666666666667;0.2;0.013333333333333334
e10;have-house;3;6;1;0.06666666666666667;0.125;0.008333333333333333
e11;house-alice;6;3;1;0.06666666666666667;0.125;0.008333333333333333
e12;be-blue;12;1;1;0.06666666666666667;0.08333333333333333;0.005555555555555555
e13;pedro-be;4;12;1;0.06666666666666667;0.06666666666666667;0.0044444444444444444
e14;pedro-have;4;3;1;0.06666666666666667;0.16666666666666666;0.01111111111111111
e15;house-pedro;6;4;1;0.06666666666666667;0.1111111111111111;0.007407407407407407
e16;be-green;12;1;1;0.06666666666666667;0.08333333333333333;0.005555555555555555
e17;dog-be;2;12;1;0.06666666666666667;0.07692307692307693;0.005128205128205128
e18;bob-be;2;12;1;0.06666666666666667;0.07692307692307693;0.005128205128205128
e19;have-bob;3;2;1;0.06666666666666667;0.25;0.016666666666666666
